Fayette,13959.4,12380.3,13434.3,12834.6,11787.4,12228,12661.9,12982.5,12159.5,12941.7,13950.9,16392.2,12919.1,13478.1,17981.8,14469.2,17093.9,16083.9,15478.5,15980.8,16835.3
Ford,9061,8319.3,8357.9,8655,7692.8,7777.4,7994.1,8400.6,7953.2,7937.7,8856.1,8704.6,8379.7,9457.3,9493,10669.1,10799.8,11301.6,10996.1,11718.3,10876.5
Franklin,18430.4,17712.8,18400.5,17605.6,15370.9,15245,14864.2,15388.4,14769.9,15387.6,16462.5,18930.7,17313.1,18032.2,18393.2,19708.7,18131.6,16584.7,19473.4,19497.1,18366.5
Fulton,14188.1,12504.2,12647.6,12248.4,9926.1,10336,10213.8,11187.4,10537.1,11299.5,11334.5,13015.2,11555.6,13792.2,12763.5,13417.5,12041.2,14168.4,13657.2,15144.3,13653
Gallatin,17987.6,19051.9,19208.4,17767.2,16844.2,17205.3,14843.1,16145.8,15939.2,16274.1,19005,19531.8,20176.8,19047.6,19374.9,18339.9,18257.7,17713.3,16978.3,17331.3,17777.8
Greene,14862.6,13945.7,14429.8,14283.8,12250.5,11950.9,11887.8,12631.7,11931.6,12414.1,13523.8,14964.4,13506.2,14545.7,13650.7,14491.6,14536.5,13719.2,17823.3,15766,16350.7
Grundy,5863.5,5311.8,5661.4,5493.8,5250.4,5301.8,5276.6,5694.1,6183,6372.9,5212.6,5557.2,5255.8,6311.3,6520.9,7968.4,7017.7,8279.2,7954.3,8450.2,7684.8
Hamilton,15457,14862.2,14722.2,14801.6,12799.3,13066.7,11809.5,12677.7,11991.5,12058.7,13162.6,15593.7,11977.2,12372.8,13269.4,14380.4,15292.3,14478.7,14791.7,13850,12865.9
Hancock,12342.5,10280.9,10546.8,10870.7,9557.4,9529.5,9183.3,9957.6,9546.1,9419.2,10580.6,10390.5,10331.1,10770.1,10964.4,13256.2,11988,12986.5,12060.9,11452.3,12506.1
Hardin,19126.9,18987.6,19393.6,17006,14075.5,15825.8,15823.7,16684.3,14436.9,14922.8,18526.5,17590.9,20013.4,19630.6,20442,19307.6,20322.4,20554.4,20346.3,20513.4,20024.2
Henderson,12011.2,10354.9,11552.7,11324.2,9759.1,9740.6,10061.3,10708.1,10296.2,10452.5,11906,11689,11288.8,11697.7,12043.6,12163.8,11845.6,11839.3,12794.9,11596.3,11336.7
