,Crime,Date,Latitude,Longitude
79,WEAPONS VIOLATION,2020-04-03T21:17:00.000,41.897524798,-87.769136372
80,BATTERY,2020-04-03T21:15:00.000,41.81656186,-87.701841559
81,CRIMINAL DAMAGE,2020-04-03T21:10:00.000,41.986871119,-87.66958782799999
82,BATTERY,2020-04-03T21:03:00.000,41.899181962,-87.70762525200001
83,THEFT,2020-04-03T21:02:00.000,41.939848915,-87.658251563
84,CRIMINAL DAMAGE,2020-04-03T21:00:00.000,41.789677494,-87.665685575
85,DECEPTIVE PRACTICE,2020-04-03T21:00:00.000,41.992548282,-87.677125049
86,BATTERY,2020-04-03T21:00:00.000,41.831172871,-87.615931946
87,BATTERY,2020-04-03T21:00:00.000,41.88786856,-87.774906441
88,MOTOR VEHICLE THEFT,2020-04-03T21:00:00.000,41.884472413000005,-87.65024523299999
89,BATTERY,2020-04-03T21:00:00.000,41.960584701,-87.75868271200001
90,BATTERY,2020-04-03T21:00:00.000,41.762316394,-87.597749548
91,OFFENSE INVOLVING CHILDREN,2020-04-03T20:55:00.000,41.680500124,-87.659047274
92,CRIMINAL DAMAGE,2020-04-03T20:52:00.000,41.773042888,-87.61144405
93,MOTOR VEHICLE THEFT,2020-04-03T20:50:00.000,41.764062712,-87.694237602
94,BATTERY,2020-04-03T20:40:00.000,41.969356095,-87.717058673
95,BATTERY,2020-04-03T20:40:00.000,41.678104905,-87.617400224
96,OTHER OFFENSE,2020-04-03T20:34:00.000,42.012739369,-87.66890313100001
97,THEFT,2020-04-03T20:30:00.000,41.898745027,-87.658570794
98,BATTERY,2020-04-03T20:30:00.000,41.862559612,-87.721822445
99,MOTOR VEHICLE THEFT,2020-04-03T20:20:00.000,41.923008844,-87.761033666
100,ROBBERY,2020-04-03T20:10:00.000,41.692122131,-87.661346081
101,THEFT,2020-04-03T20:09:00.000,41.767121096,-87.582812195
102,BATTERY,2020-04-03T20:05:00.000,41.924902435999996,-87.76602531299999
103,WEAPONS VIOLATION,2020-04-03T20:02:00.000,41.900595711,-87.760840804
104,BURGLARY,2020-04-03T20:00:00.000,41.822679678,-87.61247536100001
105,CRIMINAL TRESPASS,2020-04-03T20:00:00.000,41.700355114000004,-87.531656916
106,ROBBERY,2020-04-03T20:00:00.000,41.779800967,-87.625377411
107,THEFT,2020-04-03T20:00:00.000,41.81035937,-87.71999725799999
108,MOTOR VEHICLE THEFT,2020-04-03T20:00:00.000,41.891694878,-87.62615583200001
109,OTHER OFFENSE,2020-04-03T20:00:00.000,41.8558033,-87.679005661
110,THEFT,2020-04-03T20:00:00.000,41.910920013,-87.690901111
111,BATTERY,2020-04-03T20:00:00.000,41.769288767,-87.687041156
112,BURGLARY,2020-04-03T20:00:00.000,41.982135322,-87.708836606
113,SEX OFFENSE,2020-04-03T20:00:00.000,41.783491914,-87.69961055700001
114,THEFT,2020-04-03T20:00:00.000,41.974824456,-87.783344986
